sex,age,address,Medu,Fedu,studytime,failures,schoolsup,famsup,internet,absences,G1,G2
F,18,U,4,4,2,0,yes,no,no,4,0,11
F,17,U,1,1,2,0,no,yes,yes,2,9,11
F,15,U,1,1,2,0,yes,no,yes,6,12,13
F,15,U,4,2,3,0,no,yes,yes,0,14,14
F,16,U,3,3,2,0,no,yes,no,0,11,13
M,16,U,4,3,2,0,no,yes,yes,6,12,12
M,16,U,2,2,2,0,no,no,yes,0,13,12
F,17,U,4,4,2,0,yes,yes,no,2,10,13
M,15,U,3,2,2,0,no,yes,yes,0,15,16
M,15,U,3,4,2,0,no,yes,yes,0,12,12
F,15,U,4,4,2,0,no,yes,yes,2,14,14
F,15,U,2,1,3,0,no,yes,yes,0,10,12
M,15,U,4,4,1,0,no,yes,yes,0,12,13
M,15,U,4,3,2,0,no,yes,yes,0,12,12
M,15,U,2,2,3,0,no,yes,yes,0,14,14
F,16,U,4,4,1,0,no,yes,yes,6,17,17
F,16,U,4,4,3,0,no,yes,yes,10,13,13
F,16,U,3,3,2,0,yes,yes,no,2,13,14
M,17,U,3,2,1,3,no,yes,yes,2,8,8
M,16,U,4,3,1,0,no,no,yes,6,12,12
M,15,U,4,3,2,0,no,no,yes,0,12,13
M,15,U,4,4,1,0,no,yes,yes,0,11,12
M,16,U,4,2,2,0,no,no,yes,0,12,13
M,16,U,2,2,2,0,no,yes,yes,2,10,10
F,15,R,2,4,3,0,yes,yes,yes,2,10,11
F,16,U,2,2,1,0,no,yes,yes,6,10,11
M,15,U,2,2,1,0,no,yes,yes,8,11,12
M,15,U,4,2,1,0,no,no,yes,0,11,11
M,16,U,3,4,2,0,yes,yes,yes,2,12,12
M,16,U,4,4,2,0,no,yes,yes,4,12,11
M,15,U,4,4,2,0,no,yes,yes,0,10,11
M,15,U,4,4,2,0,no,yes,yes,2,15,15
M,15,R,4,3,2,0,no,yes,yes,0,13,14
M,15,U,3,3,2,0,no,no,yes,0,13,12
M,16,U,3,2,1,0,no,yes,yes,4,12,12
F,15,U,2,3,1,0,no,yes,no,4,11,11
M,15,U,4,3,3,0,no,yes,yes,0,14,14
M,16,R,4,4,3,0,no,yes,yes,4,13,13
F,15,R,3,4,3,0,yes,yes,yes,2,11,12
F,15,R,2,2,1,0,yes,yes,no,8,14,13
F,16,U,2,2,2,0,no,yes,yes,16,11,11
M,15,U,4,4,1,0,no,yes,yes,8,10,11
M,15,U,4,4,2,0,no,yes,yes,0,14,15
M,15,U,2,2,1,0,yes,yes,yes,0,9,10
F,16,U,2,2,2,1,yes,no,yes,14,10,11
F,15,U,4,3,2,0,yes,yes,yes,4,10,11
F,16,U,3,3,2,0,no,yes,yes,6,13,12
M,16,U,4,3,4,0,no,no,yes,2,17,17
M,15,U,4,2,2,0,no,yes,no,4,11,12
F,15,U,4,4,2,0,yes,yes,yes,2,13,12
F,16,U,2,2,2,0,no,yes,yes,0,14,13
F,15,U,4,2,2,0,no,yes,yes,0,16,14
M,15,U,4,2,1,0,no,no,no,4,10,9
F,15,U,4,4,1,0,yes,yes,yes,0,13,12
F,15,U,3,3,1,0,no,no,yes,0,13,12
F,16,U,2,1,2,0,no,no,yes,2,12,13
F,15,U,4,3,2,0,no,yes,yes,0,15,14
M,15,U,4,4,2,0,no,yes,no,8,15,15
M,15,U,1,2,2,0,yes,yes,yes,0,14,13
F,16,U,4,2,2,0,no,yes,yes,2,16,15
F,16,R,4,4,2,0,no,yes,no,0,17,16
F,16,U,1,1,1,0,yes,yes,yes,0,10,10
F,16,U,1,2,2,0,yes,no,yes,0,13,13
F,16,U,4,3,3,0,yes,yes,yes,0,14,13
F,15,U,4,3,2,0,yes,no,yes,0,13,12
F,16,U,4,3,2,0,no,yes,yes,2,16,15
M,15,U,4,4,4,0,no,yes,yes,0,11,12
F,16,U,3,1,4,0,yes,yes,yes,0,10,9
F,15,R,2,2,2,0,yes,yes,yes,0,11,10
F,15,R,3,1,4,0,no,yes,yes,6,15,15
M,16,U,3,1,4,0,no,yes,yes,2,13,11
M,15,U,4,2,4,0,no,no,yes,0,11,9
F,15,R,1,1,2,0,yes,yes,yes,2,13,11
M,16,U,3,1,1,0,no,no,no,0,13,13
